"","country_name","region_groups","csr_id","reg_id","region","country_code","latitude","longitude","employment","wages","reserves_share","capital_share","labor_share","electricity_share","fossil_share","inner_dist","pop_sum","area","pop_dens","solar_mean","wind_mean","reserves","counter","clean_id","nolines","connected","ffl_capacity_mw","rnw_capacity_mw","capital","employment.sum","capitalperworker","costrel","Subject.Descriptor","Units","Scale","Country.Series.specific.Notes","GDPpc","Estimates.Start.After","payroll","avgwage","employment_region","PRODUCT","Price"
"1","United States",1,1,"US100","Johnson City","US",36.49062,-82.379013,199.66000002363,96.652159245235,0.00029094986,0.231650754917187,0.70186223550525,0.0241173385847753,0.0423696694568534,65.038887,569710.19,10327.177,55.166111,1770.9091,757.54468,0.0058615829448202,1,1,7,1,1755,55.4,35322.68,119799.653021361,0.000294847932436846,1,"Gross domestic product per capita, current prices","U.S. dollars","Units","See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1,2021,19297.5701171875,1,186271.437021124,"Electricity (MWh)",1
"2","United States",1,2,"US10000","Panama City","US",30.06576,-85.279472,68.0870000149351,87.790674460751,4.4875549e-05,0.231650754917187,0.70186223550525,0.0241173385847753,0.0423696694568534,50.677349,87871.016,5290.4326,16.609421,1984.7913,347.72488,0.0009040793490045,1,2,2,1,661.5,47.6,35322.68,119799.653021361,0.000294847932436846,1,"Gross domestic product per capita, current prices","U.S. dollars","Units","See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1,2021,5977.40365332031,1,186271.437021124,"Electricity (MWh)",1
"3","United States",1,3,"US1001","Boone","US",36.26572,-81.815918,24.8450000003727,78.4943008408004,3.994695e-05,0.231650754917187,0.70186223550525,0.0241173385847753,0.0423696694568534,27.82276,78220.297,2235.1641,34.995331,1756.3831,1374.947,0.0008047859253453,1,3,1,1,0,0,35322.68,119799.653021361,0.000294847932436846,1,"Gross domestic product per capita, current prices","U.S. dollars","Units","See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1,2021,1950.19090441894,1,186271.437021124,"Electricity (MWh)",1
"4","United States",1,4,"US1002","Morganton","US",35.799561,-82.001961,42.6300000120886,81.9686522403286,0.00016992279,0.231650754917187,0.70186223550525,0.0241173385847753,0.0423696694568534,34.612282,332726.56,3875.7808,85.847618,1832.1445,659.09784,0.0034233271029648,1,4,3,1,36.6,11.9,35322.68,119799.653021361,0.000294847932436846,1,"Gross domestic product per capita, current prices","U.S. dollars","Units","See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1,2021,3494.32364599609,1,186271.437021124,"Electricity (MWh)",1
"5","United States",1,5,"US10101","Bainbridge","US",30.960991,-84.680069,9.18199999934009,81.7807906535102,5.3597283e-05,0.231650754917187,0.70186223550525,0.0241173385847753,0.0423696694568534,28.633989,104949.08,3016.4177,34.792622,1984.3514,450.25146,0.0010797905836946,1,5,4,1,80,101.6,35322.68,119799.653021361,0.000294847932436846,1,"Gross domestic product per capita, current prices","U.S. dollars","Units","See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1,2021,750.911219726562,1,186271.437021124,"Electricity (MWh)",1
"6","United States",1,6,"US10102","Thomasville","US",30.86842,-84.062607,19.4500000014504,101.772299558606,4.6498277e-05,0.231650754917187,0.70186223550525,0.0241173385847753,0.0423696694568534,27.19685,91048.484,2621.0525,34.737381,1973.7538,342.93329,0.0009367714135497,1,6,3,1,0,0,35322.68,119799.653021361,0.000294847932436846,1,"Gross domestic product per capita, current prices","U.S. dollars","Units","See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1,2021,1979.4712265625,1,186271.437021124,"Electricity (MWh)",1
"7","United States",1,7,"US10200","Albany","US",31.51362,-84.178352,51.4540000063938,87.5015325321506,6.62069e-05,0.231650754917187,0.70186223550525,0.0241173385847753,0.0423696694568534,43.966339,129640.02,6401.6069,20.251169,1974.2462,440.77182,0.0013338285425139,1,7,5,1,381.7,72.4,35322.68,119799.653021361,0.000294847932436846,1,"Gross domestic product per capita, current prices","U.S. dollars","Units","See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1,2021,4502.30385546875,1,186271.437021124,"Electricity (MWh)",1
"8","United States",1,8,"US10301","Eufaula","US",31.679729,-85.037231,12.1640000073492,92.1971372770511,8.2499821e-05,0.231650754917187,0.70186223550525,0.0241173385847753,0.0423696694568534,51.472858,161543.27,6511.2358,24.809919,1957.1746,340.20221,0.0016620717677209,1,8,5,1,168,102.7,35322.68,119799.653021361,0.000294847932436846,1,"Gross domestic product per capita, current prices","U.S. dollars","Units","See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1,2021,1121.48597851563,1,186271.437021124,"Electricity (MWh)",1
"9","United States",1,9,"US10302","Dothan","US",31.32094,-85.610641,73.7960000512501,94.7871466799305,0.000104949,0.231650754917187,0.70186223550525,0.0241173385847753,0.0423696694568534,48.951649,205501.11,7689.6201,26.72448,1963.8668,403.83826,0.002114341268871,1,9,6,1,8.6,10.6,35322.68,119799.653021361,0.000294847932436846,1,"Gross domestic product per capita, current prices","U.S. dollars","Units","See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1,2021,6994.91228125,1,186271.437021124,"Electricity (MWh)",1
"10","United States",1,10,"US10400","Meridian","US",32.469372,-88.820992,46.1140000256823,91.2867533788393,6.1116909e-05,0.231650754917187,0.70186223550525,0.0241173385847753,0.0423696694568534,49.463989,119673.3,8612.8193,13.89479,1900.6691,524.15149,0.0012312837978204,1,10,5,1,1262.9,0,35322.68,119799.653021361,0.000294847932436846,1,"Gross domestic product per capita, current prices","U.S. dollars","Units","See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1,2021,4209.59734765625,1,186271.437021124,"Electricity (MWh)",1
